,name,review,date_old,rating,company,country,date,topic,content
479,yda mccaskey,1.0,"Monday, September 9, 2024 at 01:21:29 p.m.",1,ebay,United States,2024-09-01 13:21:29,cannot speak with customer service,cannot speak with customer service cannot get in touch with seller and no answer to my email this is my first experience with ebay i got screwed for 76 dollars i guess learn and live thank alot ebay
480,Guru Vibe,35.0,"Tuesday, September 17, 2024 at 07:08:24 p.m.",1,ebay,United Kingdom,2024-09-01 19:08:24,ebay has turned into a big scam for,ebay has turned into a big scam for allstay away from it dont buy or less you will be scammed by many bad sellers listed wrong things ebay then say it is correct run away from ebaycouk                                                 ebaycomanywhere ebay dont get into to the con people and sad people who are ebay and scammer buying people and sellers also they have turned there company into a bad place with bad news run a mile people from ebay scams and yeh ha 
481,Karolina Maximova,1.0,"Thursday, September 5, 2024 at 04:50:39 a.m.",1,ebay,United Kingdom,2024-09-01 04:50:39,horrible system charged by ebay,horrible system being charged by ebay unfairly i have sent the product via royal mail parcel was showing delivered but buyer couldnt find the orderand i was charged by ebay for the total amount i lost my product and paid for thatno way i will sell again there 
482,Matteo Pecnich,1.0,"Tuesday, September 3, 2024 at 05:55:54 a.m.",1,ebay,Italy,2024-09-01 05:55:54,ebay protect the scammers,ebay protect the scammers i bought what i later discovered as a fake product i immediately reached ebay to alert them and the vendor and products are still there to scam someone else 
483,MOBI,1.0,"Wednesday, September 4, 2024 at 08:14:36 p.m.",1,ebay,United States,2024-09-01 20:14:36,as a new seller selling pokmon cards,as a new seller selling pokmon cards its a nightmare to sell anything used i would avoid it completely waste of everyones time i moved to mercari will never return to ebay
484,Jon,93.0,"Monday, September 16, 2024 at 09:23:05 a.m.",1,ebay,United Kingdom,2024-09-01 09:23:05,how can this be honest transparent feedback,i called ebay to try and get 2 unwarranted negative feedbacks left by the same person removedi was told the same old same old that feedback is subjective and its just the buyers opinion and that i should reply to the feedback with my own opinionebays new updated feedback policy opens with this phrase our community expects honest transparent feedbackafter telling me the negative feedback comments are subjective and only the opinion of the buyer they told me my feedback was not removable even though the buyers feedback states not in immaculate condition as stated anyone can see until the listing is deleted that i had listed it as very good 710 but ebay say this is subjectivei say it is a lie and that the buyer should not expect a 50 year old magazine graded 7 out of 10 to be in immaculate conditionalso the photos uploaded by the buyer were not the magazine i sent to the buyerbuyer also left neg with no communication at all it was a 150 purchase and i tried to work something out via ebay messaging asking if the buyer would like a partial refund but the buyer didnt respondthe ebay agent i spoke to said she doesnt have an option in her dropdown menu that covers the following situations in the new policy so she would be risking her job trying to find a way around itmeaningless content or images that arent of the item purchasedthe buyer is raising an issue that was correctly disclosed in the listingwe both came to the conclusion that the options she has for removing feedback do not match the reasons for removal stated in the feedback policy displayed on ebay the policy has been updated on ebay for all to see but internally it hasnthow can this be honest transparent feedback
485,Pavol Danis,1.0,"Tuesday, September 3, 2024 at 09:35:01 a.m.",1,ebay,Slovakia,2024-09-01 09:35:01,ebay review,i have ordered a football shoes from the seller kk shoes and sportswear paid for it but i have never received the item ebay refused to send my money back so i do not have the goods as well as the item feels like a pure scam anyway perfect bussiness for ebay and seller 
486,Nadoura,1.0,"Wednesday, October 2, 2024 at 02:07:13 a.m.",1,ebay,Canada,2024-10-01 02:07:13,i agree with all the reviews ,i agree with all the reviews  for a recent case that i faced with them for a sale of an item  customer service dont listen at all to any reply  you feel that each time you call them to explain the situation you talk to the sky  you repeat the same issue to call again  each time a different agent replied that the case has been solved  finaly i received an abusive decision from their part and they condemn me to pay 550  they have long arms to go to your bank account and take it by force if no they take you to collection  please with all honesty  for your piece of mind avoid this nightmares  business with them  avoid very high charged fees almost 135  even if you dont make the sale  they try to screw you to pay their hefty fees thats very abusive system we need customer protection in canada to investigate this company 
487,Shehady Rezk,1.0,"Tuesday, September 17, 2024 at 04:31:21 a.m.",1,ebay,United States,2024-09-01 04:31:21,they returned my item from the buyer to,they returned my item from the buyer to a different address and they wont tell me where they send it to  and they wont respond to me 
489,Ashley Moody,5.0,"Wednesday, September 4, 2024 at 04:47:06 p.m.",1,ebay,United States,2024-09-01 16:47:06,i started using ebay to sell things,i started using ebay to sell things worst experience ever ive only sold one product the money was put on hold ebay charged me for to labels and my package arrived broke i will never use ebay for selling again
490,Raymond Flaum,10.0,"Friday, September 6, 2024 at 12:36:54 p.m.",1,ebay,United Kingdom,2024-09-01 12:36:54, ebay customer services bad  ,ebay customer services is terrible my item went missing by evri i had all the evidence from evri but ebay refused to help bad bad bad  
491,Ben Bardan,3.0,"Wednesday, September 11, 2024 at 12:43:31 a.m.",5,ebay,Australia,2024-09-01 00:43:31,ebay is the best ,ebay is the best app to buy stuff and it is better that amazon and my nike jordan came perfect great app highly rated 
492,Run Sue Nammy,1.0,"Tuesday, September 10, 2024 at 01:29:24 p.m.",1,ebay,Canada,2024-09-01 13:29:24,i got ripped off no money back,i bought an item off of ebay and it never arrived i tried to get my money back multiple times made appeals and they just kept telling me the item was coming finally seven months later they admitted the item is not coming and heres what they wrote to me today hello  i am alexis with ebay customer service a specialist with ebay international shipping i would first like to apologize for the delay in our response we have received an increase in volume recently and are working to respond to all of our members as quickly and efficiently as possible thank you so much for your patience and understandingi understand that you did not receive the akina speed stars kanji fukiwara jdm tofu shop initial d license plate frame you purchased and are looking for an update i am sorry to hear this happened but i am happy to help you with the next steps  i have looked into the order and regrettably this transaction does not meet the requirements for coverage under the ebay money back guarantee so we cannot offer a refund   allow me to explain what our criteria are as a buyer you are covered with the ebay money back guarantee within 30 days of the estimated or actual delivery date regrettably your case is not eligible because the time frame to take action on the order has passed i am sorry for the inconvenience   i know this may not have been the news you were expecting i understand how important this is and so i have provided all information that we have available regrettably we do not and will not have any additional information that we can provide on this item i appreciate your understanding kind regardsalexisebay international shipping specialistebay customer servicedo not shop with ebay
493,Mike,15.0,"Tuesday, September 17, 2024 at 03:54:24 p.m.",1,ebay,United States,2024-09-01 15:54:24,the law needs to step in on these rip,the law needs to step in on these rip off artists ive filed 9 lawsuits and have won all of them i think its about time for the don to step in all my suits were false advertisement suits dont fall for ebays fraud you will get ripped off
494,Thomas Eastwood,59.0,"Tuesday, September 10, 2024 at 01:20:12 p.m.",1,ebay,United Kingdom,2024-09-01 13:20:12,ebay are in breach of the consumer,ebay are in breach of the consumer rights act 2015 and the sale of goods act by not refunding the original postage costs when the items bought from an ebay seller prove to be unfit for purposefit for purpose the goods should be fit for the purpose they are supplied for as well as any specific purpose you made known to the retailer before you agreed to buy the goods  i enquired of an ebay seller if a set of wheel nuts were the correct one for my car they replied recommanding a different set which upon receipt i found the tapper was incorrect and once again contacted the seller and informed them of this problem it was agreed that i could return this set for a refund and they recommended a different set of nutsupon receipt this other set also proved to be unfit for purpose and once again it was agreed i should return them for a refundboth set of nuts were returned within the time allowed by these acts which clearly state that the buyer must be refunded all of the purchase price including postage i returned both of them within receipt the consumer rights act gives you the legal right to either get a refund for goods that are of unsatisfactory quality unfit for purpose or not as described or get it repaired   depending on how long youve owned it 030 days you can claim a full refund for goods that are of unsatisfactory quality unfit for purpose or not as described  fellow reviewers you should note that ebay have claimed their trustpilot profile but have never replied to negative reviews in fact from a quick glance through all of the reviews it would appear has not replied to any reviewclaimed profilethis means the business has claimed their profile on trustpilot and can access features like inviting customers to write reviews replying to reviews and being notified whenever someone writes a reviewclaimed their trustpilot profile may 2021 ukseptember 2013 united statesthe claimed profile label is shown in the company activity module
495,Thomas Hall,2.0,"Thursday, September 12, 2024 at 07:27:02 p.m.",1,ebay,United States,2024-09-01 19:27:02,you can never talk to some one from,you can never talk to some one from ebay on the phone to help resolve an issue as a seller  
496,mark,6.0,"Thursday, September 19, 2024 at 12:27:20 p.m.",1,ebay,United States,2024-09-01 12:27:20,misleading shipping windows,placed an order based on the quick ship window 10 minutes after  i placed the order and paid i got an email from ebay that my order was shipping with amazon and was shipping a week later than i was told when i bought it sent two emails to seller which were intercepted by ebay they basically said too bad seller has 10 days to get pkg to you i did not want to wait 10 days to get it so i tried to cancel no way to do so so i went to pay pal explained everything and they sided with me and gave me an instant refund boy was ebay angry i told them that in three places seller gave me a 3 day window i told them if seller was honest and gave me a truthful delivery time i would not have placed the order im sure they will suspend me because the seller misled me and hid the truth if you ordered a pizza and they told you 25 minutes then after you paid it came up and said it would be 4 hours would you be angry would you do everything in your power to get your money back well i did something now ebay is sending me nasty letters been a loyal ebay customer for over 20 years and can see with every order the quality of service going down hill now they seem more concerned to protect the sellers than the people that get ripped off this will most likely be my last order there are too many other places now to waste time dealing with a dinosaur like ebay
497,Robbie RDBL Guy,10.0,"Wednesday, October 2, 2024 at 05:50:50 a.m.",1,ebay,United Kingdom,2024-10-01 05:50:50,30 for a item that dident even sell,30 for a item that dident even sell  what a joke  i wont be using ebay again 
498,Louise,1.0,"Saturday, September 14, 2024 at 06:06:16 p.m.",1,ebay,United States,2024-09-01 18:06:16,sell at your own risk on ebay,first let me say i feel sympathetic to all of the victims who have fallen prey to ebays shenanigansi have been a seller on ebay for a while i advertise and ship products  exactly as i advertise a buyer purchased a bike lock with alarm from me i voluntarily included an accessory a cage to put the lock in after they received it they claimed a strap was missing on the accessory and requested a refund the buyer specifically said there was one strap on there but not the other this accessory does not have any straps on it you can choose to attach it with something like zip ties i now suspected this buyer clearly had bad intentions before agreeing to a refund and running the risk of receiving the item back not in the same condition i sent it in or not receiving it back at all  i requested they send a front and back photo of the part they claim was missing and they never did i explained this to ebay and asked them to open an investigation their initial response is that a case had been opened and they may reach out to me the seller andor the buyer to provide additional details while waiting to hear the status of the investigation from ebay the next thing i know i receive an email from ebay saying they sided with the buyer and issued them a full refund and the buyer apparently also gets to keep the item and not return it to me ebay never sent me any information status of their investigation of this case nothing saying they had reached out to the buyer and asked them why they did not send the information proof i requested the photos would have clearly shown i was right and im sure this is why the buyer refused to send them ebay just ruled in their favor despite the likelihood that they were either scamming me from the start or may have just had buyers remorse now despite my positive selling history i am left with this buyer having a refund and keeping my item all at my expense no recourse really i now have been scammed twice first by the buyer and second by ebay and dont even bother with appeals or even trying to reach a live agent you are met with nothing but algorithms and artificial intelligence through chat messages a message to any potential sellers ebay does not protect sellers like they claim they like many other companies these days are a breeding ground for scammers and have absolutely become complicit in allowing scammers to benefit those of us doing the right thing are truly left to fend for ourselves without recourse other than escalating to legal action or otherwise a message to ebay stating what should be obvious you cant have buyers without sellers continue to treat honest sellers this way will only lead to no one selling through your marketplace and youre already questionable reputation continuing to take a nose dive youre shooting your own self in the foot the better business bureau really needs to investigate ebays practices
499,Dane Strayhorn,2.0,"Wednesday, October 2, 2024 at 12:20:06 p.m.",1,ebay,United States,2024-10-01 12:20:06,fraudulent site with reviewsthe hide,fraudulent site with reviewsthe hide negative reviews 
500,Faris alhawi,1.0,"Wednesday, October 2, 2024 at 01:10:20 a.m.",1,ebay,United States,2024-10-01 01:10:20,almost impossible to sell on here,almost impossible to sell on here without getting suspended terrible experience 
501,Lani Hanson,1.0,"Thursday, September 12, 2024 at 01:17:49 p.m.",1,ebay,United States,2024-09-01 13:17:49,request for refund and acknowledgement of ebay culpability,i have been an ebay user for years but this latest experience has left me deeply frustrated and utterly disappointed in how they handle customer service and buyer protection my issue began with a purchase of an item that was never delivered despite reaching out to the seller and ebay i was left with no resolutioni contacted ebay multiple times and heres where things took a turn for the worse not only was i promised by three different representatives that a refund was being processed but i was assured that the delay was due to a technical glitch on ebays end this has been going on since aprilyet months later im still waiting for my refundone representative named grinn told me on august 16 that the refund would show up in my paypal account within 2448 hours another representative jc on august 10 submitted a manual refund request and told me to wait 710 days all of these assurances turned out to be nothing but empty promises in a phone call with another ebay rep they admitted ebay was at fault yet here i am still without my refundto add insult to injury i was later told that i had missed some obscure 21day window to ask ebay to step in a process that was never communicated to me at any point how was i supposed to know this when ebay never bothered to inform me i contacted the seller as i thought i was supposed to based on ebays poor communication why would ebay representatives repeatedly tell me the refund was being processed if i was supposedly ineligible its a complete lack of transparency and professionalismand now after all the false assurances and mishandling of the case ebays solution is to suggest i contact the sellerwho has already told me she cannot issue a refund through the platform and is unwilling to resolve the matter offappat this point i have no confidence in ebays customer service or their socalled money back guarantee ebay has acknowledged their fault failed to deliver on multiple promises and has done absolutely nothing to rectify the situation if youre considering using ebay be warned their buyer protection policies are a joke their customer service is inconsistent at best and youll be left holding the bag when something goes wrongi will think twice before using ebay again and i recommend others do the same if they expect any semblance of support when issues arise
502,Jimmy McDougle,2.0,"Saturday, September 7, 2024 at 01:20:48 a.m.",3,ebay,United States,2024-09-01 01:20:48,never receiver my package,never receiver my package but at least i got my money back
503,Shritha King,2.0,"Tuesday, September 3, 2024 at 12:30:21 p.m.",1,ebay,United States,2024-09-01 12:30:21,on july 29,on july 29 2024 at 545 pm place an order through ebay for some car partscam kit stage 2 cam oil pump pushrods lifters for chevy ls truck 48 53 60 62 	35500 and full gasket set fit for 20082015 chevrolet camaro corvette 62l v8 gas ohv 7609order totalsubtotal 2 items	43109shipping	freesales tax	3449total charged to paypal icon	46558on aug 8 i received the items they were parts missing and some were the wrong parts i emailed the seller from ebay  ebay  mseecaps mseecaiss5399 about the missing parts and the wrong items received the seller did not respond on the 3rd day of reaching out i made a complaint with paypal since i paid through them i was still given the run around about receiving a refund i have called paypal i have reached out to ebay and the seller now it has been  been 30 days no refund ebay has place my account into an inactive stage so that i can not warn others about this seller now thay re saying they cannot locate my order bs i can only deal with paypal now which is given me a very hard time all items had been sent back to the seller with a verified signature and tracking number that i have sent to paypal through a complaint that i made on the seller and the company paypal has given me nothing but lies and keep telling me to wait 10 more day to give the seller time to responded i will not be buying from ebay every again paypal is supposed to protect the customer money not take it from them 
504,Alexey,1.0,"Thursday, September 5, 2024 at 06:35:51 a.m.",2,ebay,Russian Federation,2024-09-01 06:35:51,ive known this site for a long time,ive known this site for a long time i used to order directly but now i use intermediaries very large selection you can find anything in the mail but the big minus is that the moderation does not monitor unscrupulous sellers which is why it turned out that the seller deceived me for 300 euros
505,Peter Pyne,1.0,"Tuesday, September 24, 2024 at 03:07:18 p.m.",1,ebay,United Kingdom,2024-09-01 15:07:18,beware keeping my funds due to bank,beware keeping my funds due to bank account verification process 
506,Lonnie,12.0,"Saturday, September 14, 2024 at 03:56:24 p.m.",1,ebay,United States,2024-09-01 15:56:24,ebay claims that they have a money back,ebay claims that they have a money back guarantee  this is a lie  i spent a lot of money on ebay over the years  they have started allowing ebay sellers to outright steal from buyers  i payed for two items from a seller called tacdom  they sent me one item  refused to refund the other item and refused to send me what i paid for  ebay didnt keep their word  refused to help  i closed my account  save your money and buy from another site or directly from the seller
507,Steve,3.0,"Friday, September 27, 2024 at 11:29:58 a.m.",1,ebay,United States,2024-09-01 11:29:58,no buyer protection,no buyer protection absolutely no customer servicezero dishonest sellers face no consequences 
508,Ljw,1.0,"Monday, September 16, 2024 at 05:03:30 p.m.",1,ebay,South Africa,2024-09-01 17:03:30,your items wont get delivered,your items wont get delivered they will simply say it did case closed you loose your money shocking
510,George,15.0,"Sunday, September 8, 2024 at 01:45:45 p.m.",1,ebay,United Kingdom,2024-09-01 13:45:45,will not allow  me to bid and pay cash,will not allow  me to bid and pay cash on collection 
511,Original Madeira,55.0,"Friday, September 20, 2024 at 06:01:03 a.m.",1,ebay,United Kingdom,2024-09-01 06:01:03,a load of  customer service,what a joke ebay is i call up on tuesday saying the seller has not sent my item and is not responding to me at all in 5 days the customer service open a case for me and said if you dont get a refund or a reply by friday call us back and we will sort it for you today is friday i call up and ebay saying no i cant have my money back and have to wait till saturday now i told the thats false information they gave me and lied to me and against the law then got funny with me about it telling me its not ebay policy its all companies policy not to give false information or intimate information been with them 9 years and will not be 10 after this
512,Scott Sorenson,1.0,"Sunday, September 22, 2024 at 09:36:42 p.m.",1,ebay,United States,2024-09-01 21:36:42,worst company on the planet,worst company on the planet 
513,Jaden Lisboa,1.0,"Tuesday, September 3, 2024 at 02:55:49 p.m.",1,ebay,United States,2024-09-01 14:55:49,ebay is trash youre better off,ebay is trash youre better off going to the street and selling your stuff
514,Ronald,5.0,"Friday, September 6, 2024 at 08:17:44 a.m.",1,ebay,Australia,2024-09-01 08:17:44,ron schmidt i,i wont ever use ebay again i have rubbed them out of my devices and wont bring them back after a seller ripped me off
515,Linda Venema,4.0,"Thursday, September 5, 2024 at 06:56:11 p.m.",1,ebay,Canada,2024-09-01 18:56:11,ebay,ebaythis is first time and last time ever buying anything with youyou suck big time
516,Janey,1.0,"Friday, September 20, 2024 at 11:23:01 p.m.",1,ebay,United States,2024-09-01 23:23:01,honest is what they arent my package was delivered by ups signed for by a miller i filed a claim with ebay i was told dont worry well find it for you i should have asked for a refund,honest is what they are 
517,Karen O reilly,12.0,"Monday, September 16, 2024 at 11:27:11 a.m.",1,ebay,Ireland,2024-09-01 11:27:11,yes ebay treat people like criminals,yes ebay treat people like criminals but yet there are scam listinga all over ebay platform fake items absolutely all over ebay  sellers with scam listings with extortionate prices for something thats worth around 2 euro  but this is allowed happen by ebay because if scam seller is succesful in scamming someone ebay make money so thats ok ebay are allowed scam and discriminate innocent people and get away with it  everything about this platform is a joke why people use it is beyond me but i guess if you have a platform that allows scamming in everywhich way to happen seller are going to join in  your either a morale person or your not  obviously not everyone is a scammer but ive seen thousands of scams on this platform on a daily basis  ebay need to be investigated big time  ebay global shipping programne is another scam they charge import charges on items that are exempt from charges and dont give customs info that charges were already paid so buyers have to pay double charges  plus when items dont arrive i have never gotten ebay money back on a couple of items within 30 days im told its between me and seller  plus there customer service is terrible and doesnt exist  ebay can scam who they like and let sellers scam innocent people  but if you fart the wrong way they suspend your account for recent suspicious activity that never happened in the first and they never explain what there accusing you off  what is that all about  that is discrimination on ebays behalf  but yet they can scam who they like and let sellers do the same because they make money  i have reported many scams to ebay but nothing ia done about any of them  perhaps that why account is suspended for putting ebay scam community at risk i reckon  what a bunch of crooks this platform should be closed down immediately  they scam people out of millions by now wirh the scam listings allowed on ebay  people should come together on this major issue and stand against ebay  scammers ebay itself enables this to happen  ebay money back will not refund me  my item is under 30 days well under 30 days and everysingle agent is trying to say different even though the sates are in black and white in front of them  there trying to blame the seller who did nothing wrong throughout  ebay just dont want to refund my money  this is what they do to scam people out of even more money  there that greedy  ebat global shipping programme is a scam at ebays disposal  they pass the buck if items arent delivered  do not use ebay global shipping programme sellers or buyers if anything goes wrong ebay blame the seller or buyer  the very people who put money in there pockets  they throw you under the bus basically  and all agents cant understand plain simple english  they act dumb basically thats what there told to do obviously  ebay are a disgrace  
518,Fred,3.0,"Sunday, September 15, 2024 at 10:27:31 p.m.",5,ebay,Kuwait,2024-09-01 22:27:31,professional company as always a,professional company as always a pleasant experience
519,James Maher,4.0,"Monday, September 2, 2024 at 01:13:53 p.m.",1,ebay,United States,2024-09-01 13:13:53,ebay is a non responsive nightmare ,if i could give a negative star i would in addition to having ridiculous selling fees nearly 20 when is all said and done ebay does not pay attention to their sellers needs i had a 100 feedback until recently a buyer purchased an item that was listed as  for parts not working the buyer upon receiving the item at first claimed that the item was not received i contacted the buyer and found out that they were upset that the item didnt work i advised them to correct the type of return and i would make a full refund i contacted ebay by phone about this issue and advised that they were going to make notes in the case a month later when the buyer didnt return the items the case was closed one day later i received a scathing negative review from this buyer i did place a note on the review but no one ever reads these i then contacted ebay to have the negative review removed ebay rejected my request to have it removed i didnt do anything wrong in this transaction and even contacted ebay once i became aware of the situation and also offered a refund but they somehow ruled against me sellers beware when it comes to ebay
520,anne flynn,19.0,"Monday, September 2, 2024 at 11:04:08 a.m.",1,ebay,United Kingdom,2024-09-01 11:04:08,too many sellers are just scammers now,too many sellers are just scammers now and ebay are as bad as wont help or protect those who are scammedthey just got very greedy and want your money but wont help when things go wrongthey even got rid of paypal who offered some protection a very bad place is ebaywe dont use it any more as just keeps getting worse so enough  is enough 
521,Hussain AlShaikh,2.0,"Sunday, September 1, 2024 at 12:19:16 p.m.",1,ebay,Bahrain,2024-09-01 12:19:16,this marketplace is losing its appeal ,it was a good place to sell and was my favourite to buycurrently their service and policies make them not worth a cent
522,BrainiArch John salihu,2.0,"Sunday, September 1, 2024 at 10:31:51 a.m.",1,ebay,"Moldova, Republic of",2024-09-01 10:31:51,ebay are scammers,ebay are scammers please be very careful shopping on ebay ill suggest you shop elsewhere they dont have integrity and they work with most sellers to scam you buyers are not protected i bought two 2 shoes via ebay and the courier used by the seller or ebay could not deliver to me as the were not sure of the address and decided to return the shoes back to where it was shipped from ebay refunded me for one 1 of the shoes instead of both since both were returned the courier they used said both were returned but on their site it showed delivered instead of them to investigate the courier they told me i wont be refunded be very careful when dealing with ebay please
523,Terry Broome,89.0,"Sunday, September 1, 2024 at 09:01:34 a.m.",1,ebay,United Kingdom,2024-09-01 09:01:34,ebay rubish company,ebay rubish companyat last ive got ebay to delete my accountnever have i used a online shop that either are so late or never send goods that ive ordered better companysamazon and temulook at their reviews
524,Timothy Whiteside,2.0,"Saturday, August 31, 2024 at 08:46:43 p.m.",1,ebay,United States,2024-08-01 20:46:43,i purchased a rear spoiler through ebay,i purchased a rear spoiler through ebay from a company named akmor35  now they said i can return the item but they have not sent me a return label or sent it through a site that wont allow me to pull it up on my computer ive sent several correspondence but no reply be leary ordering through ebay because i should not get this kind of hassle to return merchandise by the way i ordered it on 82324 but ebay claim they dont have record of my transaction what kind of operation are they running  
525,Sara,6.0,"Saturday, August 31, 2024 at 03:30:43 p.m.",1,ebay,United Kingdom,2024-08-01 15:30:43,full of fakes from china and ebay dont,full of fakes from china and ebay dont care   was misled into buying what i thought was genuine bio complete 3 by dr steven gundry  pictures were all good correct label ingredients everything  and not based in china  i always make sure not to buy anything from china   of course what actually turned up was a total fake fake ingredients fake label full of spelling mistakes and posted by criminals from china   complete junk   reported to ebay with all the evidence of their site being used by chinese criminals to defraud ebay customers who said they were looking into it  ebay replied within five minutes with an obviously automated response from of course a noreply address that it had been looked into but didnt violate their policies   unbelievable  so they know ebay is being used by criminals to defraud innocent customers but they just dont care and refuse to do anything about it   which just means that ebay itself is now a criminal outfit profiteering out of illegal commerce  it should be shut down but of course it wont be because governments are on the take from ebay as well so everything is corrupt   us and uk governments are knowingly and actively complicit in chinas huge plan to take down western civilisation bit by bit  ebay is  just one of their tools   just for the record this particular chinese criminal outfit goes under the trading name of  jdiomn66 6 but of course there are millions of others   basically every time you buy from ebay you are just shooting yourself in the foot   ebay is a disgusting site run by criminals  lets hope kamala has the balls to shut them down   tried to appeal ebays ridiculous decision via the forms on their website but they have designed it so you cannot submit the forms  they will 1 not recognise the item no 2 say the details you have written are invalid 3 keep losing the details of what you have written 4 threaten you that your details will be submitted to the seller unless you submit this form anonymously without providing the means by which to do this 5 not provide any alternative means of communicating with them   i give up  its not worth it for 16 which is what they are banking on  ebay is a criminal outfit supporting china in dismantling the west   if you dont believe that and stop buying from ebay then youre a fool  jamie iannone the ceo of ebay should be investigated by the us government
526,George B.,1.0,"Saturday, August 31, 2024 at 03:05:22 p.m.",1,ebay,United States,2024-08-01 15:05:22,so many broken things on ebay right,so many broken things on ebay right now  the biggest one for me is my notifications are broken  on my browser they dont even show up anymore  not even a number  on my app the number of notifications is showing but when i click on them is say youre all caught up for now  ive called ebay to try and get it fixed but they just sent it up to tech support which has done nothing  ive been an ebay member for over 20 years and everyday it just keeps getting worse and worse  now would be a great time for another platform to step up and do it better  i know most of the sellers would jump ship in a heartbeat right now
527,miami14680,3.0,"Saturday, August 31, 2024 at 02:55:50 p.m.",1,ebay,United States,2024-08-01 14:55:50,ebay is going down by year  ,ebay used to be one of my favorite place to shop but is going to hit in the last year not able to contact customer service not able to cancel an order you did 3 minutes ago  you need to wait for seller approval which is not available till 4 weeks after becuse seller in on china or away from vacation you wont be able to buy another item till they decide when  os why amazon is growing up and ebay going down every yeari have bee with ebay since 1997 but not anymore  
528,Mark,3.0,"Saturday, August 31, 2024 at 11:15:23 a.m.",5,ebay,Australia,2024-08-01 11:15:23,surprisingly fast delivery and outstanding performance my 7inch double din stereo experience,the 7inch double din stereo is a versatile and userfriendly head unit that enhances your incar entertainment experience the touchscreen display is responsive and clear making it easy to navigate through menus and control
530,Thomas Ghione,6.0,"Saturday, August 31, 2024 at 06:58:10 a.m.",1,ebay,France,2024-08-01 06:58:10,unsafe ,just closed my account ebay are definetly pro seller even if they are lying in advertisment and specifications of items for example they dont publish bad reviews to protect them i guess they make money out of each sell will never shop again on ebay they make it really hard to solve issues with a non sense customer service management its just turning online shopping into evil
531,anonymous,2.0,"Friday, August 30, 2024 at 08:24:38 p.m.",1,ebay,United States,2024-08-01 20:24:38,ebay support is beyond horrible,ive been on ebay for 21 years now something they insist on pointing out every time i need to call them  as if i dont know when i joined  i need to be reminded  whytoday and this started days ago actually look at any listing usually shipping info is in a tab right next to item description   but for some time that has been missing  tried two different browsers same thingnow when i shop this is one of the important bits of info i want to see  first where is said item coming from what carrier some are worse than others worth avoiding and if its not right on the listing the costthis is missing nownote several things i do when shopping on ebay  check the feedback see where the shop is actually located and the shipping info i should not have to look at a shops about page when the very first thing i do is click us only  but you better take the time to go look at any shop you land on go to the about page and so often its china  or some other country not usa shipped from the usa but the shop is on another part of the globe   that usually means its amazon  some jerk fills orders and never even touches the item  so now i always check shop locations toothen do check feedback  i can usually tell some people are just never happy and will leave a neg  not too hard to spot those  but if you see hundreds in just the past year  negs   run away   and why are those horrible sellers even allowed to stay    ebay doesnt care thats why  today its shipping that is missing from every listingso i go around their maze to get ebay to call me  a rochelle directly from india very hard to understand  she tries has me on hold to check something but vanishes  fine  around the maze again pick from their list of reasons that does not have the actual reason argue with an auto bot finally get to the point they will call me   this time an american girl calls me very nice tries to find something out has to put me on hold at least this time the aweful hold music tells me the call is still going unlike the first one that just went dead  while on hold rochell keeps calling me but she cannot hear me so she hangs up   over and over againgees figure out your phone is broke and stop trying huh   then the one who i thought was actually helping also cuts me offnow beyond furious i go through the bot the voicemail yet again  but this time my reason for calling is answered by me literally shouting into the phone agent  human  manager  complaint    the dumb thing tells me to go to ebays website gives me the damn site as if i dont already have it and hangs up  during all this mess i figured it might be faster to just ask the seller where the thing is coming from but when i hit contact seller it seems someone already asked   so not on my end then huh   someone else already had to asklastly and this is a whole other issue many sellers on ebay are actually selling amazon   i have been told by ebay repeatedly this is most certainly against their tos   but do they do anything  oh hell no   in fact i started simply returning any and everything that comes in an amazon package or by an amazon truck or even has amazon coupons inside   i just send it back  but then ill leave a neg feedback saying i did not order from amazon   but so far every single time that feedback gets removed and even if i report the seller to ebay that seller never gets removedebay is going down the toilet fast   more than a few times now stuff i use to buy there i simply find elsewhere now   
532,David Jones,8.0,"Friday, August 30, 2024 at 08:22:54 p.m.",1,ebay,United Kingdom,2024-08-01 20:22:54,been with this company for 12years and,been with this company for 12years and have spent a fortune with them no longer will i do so just recently they have gotten really bad to the stage i can no longer trust them most recently i ordered a item that was about 34 that never arrived even though it showed as delivered i have contacted the seller who just ignored me i have contacted royal mail who have taken my details and never replied ebay has decided its my fault so no refund i left a negative feedback to say i have not received the item and they have even removed my feedback how bad is that nothing rude just that i havent received the item and they have removed it what is the point in feedback if its taken down because it was labelled negative i had to wait 7days to leave that for them to remove it scam site stick to amazon it my be more but least its not scam
533,Carpenter,2.0,"Friday, August 30, 2024 at 06:06:38 p.m.",1,ebay,Canada,2024-08-01 18:06:38,well it looks like another bad review,well it looks like another bad review for ebay  order a used graphics card from the states note how i didnt capitalize  when i arrived at the canada post office i was told to get my card id have to cough up another 30 of the original cost in customs duty  no heads up or nothing and it appears no action from ebay  i refused the item and supposedly it was sent back  no refund so far ive got nothing but the run around  im not optimistic
534,Richard Spencer,1.0,"Friday, August 30, 2024 at 03:59:26 p.m.",1,ebay,United States,2024-08-01 15:59:26,ebay autopay is broke,ebays new autopay policy is a frustrating mess if the buyer purchases multiple items ebay automatically charges the full postage amount for each item and wont let either the buyer or seller correct it the invoice feature doesnt work and keeps saying the sale has been completed when it hasnt  
